"An 0"	"An 30"	"An 60"	"An 120"	"O2 0"	"O2 1"	"O2 5"	"O2 10"	"O2 15"	"O2 30"	"O2 45"	"O2 60"	"O2 120"
"Succinate"	0	0.12681957600717	0.13654060975588	0.104952040303296	0	0.317295317309012	0.0954732537707064	0.252542927971498	0.14535488773829	0.100082164137985	0.106177502023247	0.133992883546354	0.160219087977349
"Threonine"	0	0.122499203679875	0.0758615525753679	0.070731091605183	0	0.138792871357794	0.0951279618826954	0.0734765141088658	0.121258303531614	0.103671672411765	0.161346943246328	0.16299385577097	0.111442761808765
"Tyrosine"	0	0.118866248783041	0.0907642979852865	0.171020497104135	0	0.188873977370456	0.070537946205011	0.132411325886231	0.142018921469199	0.163966924148313	0.11373563639912	0.145829179953451	0.163370250617098
"UDP"	0	0.378300610495508	0.291001661899414	0.295772568231764	0	0.506558693929075	0.209136286609267	0.288455981608334	0.4584969505892	0.415176811355018	0.339059564488458	0.28097551661137	0.687794070605481
"UDP-glucuronate"	0	0.398062957662298	0.260676831702958	0.326692039055603	0	0.334428792305762	0.119403596679084	0.222755305727065	0.175727428641395	0.210838527061206	0.251431936436502	0.239566836188676	0.200659074154652
"UDP-N-acetylglucosamine"	0	0.243594116218364	0.100111052700109	0.148309386455297	0	0.14922864900649	0.0874285153849946	0.119981512221926	0.115820039407564	0.157173049241807	0.182552265583773	0.219553475493244	0.183524432575309
"Uridine"	0	0.131152854173091	0.12615673819002	0.118142835839521	0	0.272242081497311	0.10361383828169	0.180365521308127	0.107797404747433	0.0891549034492896	0.131689582721536	0.140722992779497	0.155880377718403
"UTP"	0	0.505285941213668	0.198992987441493	0.35222537604156	0	0.381198059615307	0.130668698981624	0.281015236331406	0.218585225941795	0.202128764628763	0.21496628760554	0.203750229439929	0.224100012017392
"Valine"	0	0.0666317777546817	0.082918620437523	0.109580051372242	0	0.268571509943433	0.160427246224881	0.124256147517297	0.126345390947106	0.110404614839578	0.111771260553693	0.157504534580648	0.0711449572719789
"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate"	0	0.329372214626695	0.319937206538286	0.155790166652173	0	NA	0.396526267118838	0.577805003802099	0.701954096886131	0.518273496188048	0.585166826067584	0.87843619937198	0.155374451336977
"Arginine"	0	2.50009870971207	0.538066546921099	0.162558285766871	0	1.95147460365021	2.01455999734844	1.78869753623542	1.99818404936013	1.45456660973891	1.42565559602499	1.55894639543908	1.74881537894228
