2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C13-label-22	1658374.38	1084786	1875484.38	1586291	1531778.5	1703272	1861658	1999118.38	1858056.88	1793791.88	1743416.38	1284410.5	2182888	1949984	1969569.5	1957443.5	2106247.25	2131912.25	1349619.62	1970081.88	1973702.62	2127180.25	2193614.75	1759488.5	1889805.88	2003919.5	2051199.5	2270991	2112555.25	1613761	1806799.38	2027957.5	2115632.5	2211650.75	2073708.38
C13-label-23	2358861	1505258.12	2566697.75	2554361	2233149.75	2549236.25	2608652.75	2831150.25	2904565	2712815	2517152.75	1735632.62	3175434.75	2865025.75	2643454	2897468	2816928	3069526.75	2208066.25	2910994	2852894.75	3008608	3258090	2451505.75	2712007.75	3093634.75	2868815	3232013.25	2994855.75	2314605	2773268.25	2974396.75	2981808	3035590	3022441
																																			
Acetyl-Ornithine	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	56448896	61632032	75364080	62832080	40975104	44845932	33727372	34306468	38370980	36828168	76904224	60968484	78540440	71853560	55065888	44462976	22534694	24235872	96622888	88524664	80003848	83615416	97689160	60101996	37561780	32991290	41869420	44321748	82844664	110575968	196107952	101303240	116554912	174966224	185615120
C13-label-1	4369536.5	4851817.5	5551291.5	4719306.5	3130906	3383645	2104967.75	2537723	3054585.75	2892761	5897318	6084149.5	5242336	5849874.5	4183553.25	3363132.25	2097482.75	1821644.38	7675044.5	6716692.5	5966521.5	6755012.5	7579914.5	5027564.5	2672783.25	2631076.75	2881559.25	3683327.25	4724389.5	8977759	14587861	8159141.5	9141969	13701449	14234257
C13-label-2	0	37108.1	30437.27	60877.75	48108.48	0	23569.73	0	0	21420.3	47252.06	74243.03	42148.11	24852.92	78358.03	0	13704.2	25847.77	129225.59	50076.46	61708.5	175883.86	44585.42	69680.62	18858.89	0	26365.84	31676.29	39090.94	42062.68	147397.58	59213.26	105581.09	139759.67	151860.31
C13-label-4	0	0	0	0	0	0	0	0	0	0	0	29005.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-5	22993.4	42159.15	31482.19	32797.26	23620.28	25979.43	30334.63	25848.43	59265.95	19736.24	26119.84	16652.77	10145.95	29184.45	31116.96	38555.61	19954.12	0	22291.44	16570.86	24038.59	14703.74	21500.1	29210.66	0	22703.2	19550.79	0	0	42124.25	0	28108.84	14795.19	0	46337.67
C13-label-6	356289.09	240581.73	321309.53	385175.25	139709.14	362651.78	342759.62	494492.03	395394.41	275940.38	288112.88	246882	389351	347670.41	471962.66	426355.22	310017.22	394110.22	346233.25	421936.62	279570.09	273902.88	476510	405846.47	310509	319510.59	406644	276911.84	367341.12	452084.66	391898.47	298256.16	297333.66	372857.66	379598.16
C13-label-7	1368500.75	1617523.62	1876320.88	1796406.38	737689.25	2122956.25	1974894	2426177	1875022.5	1592234	1811006.88	1873437.12	1757325	1636734.88	2122798.25	1988616.5	1400653.38	2002311.5	1706663.5	1933828	1588821.62	1925054.12	2152546.75	1993649.5	1722861.62	1663432.62	2271793.25	1756319	1350434.62	2006135.38	1997677.38	2341949	1476953.62	2262160.75	1694566.38
																																			
